nom;type;prérequis str;prérequis end;prérequis dex;prérequis int;prérequis wis;prérequis archerie;prérequis attaque;bonus str;bonus end;bonus dex;bonus int;bonus  wis;prérequis archerie;prérequis attaque;ca;puissance terre;puissance eau;puissance air;puissance feu;puissance lumière;puissance nécromancie;résistance terre;résistance eau;résistance air;résistance feu;résistance lumière;résistance nécromancie;attaque;esquive;archerie;parade;coup puissant;coup assommant;coup critique;transpercer l'armure;guérison rapide;méditation;immobilisation;profusion de mana;vol;se cacher;piller;chercher;métier;effet;remarque
Bracelet Humterre;Bracelets;50;100;;75;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boosts CA +15 Force +30 Endurance +20 Dextérité +20 Intelligence +20 Sagesse +20 Résistance nécro +10 Résistance air +10 Résistance terre +10 Résistance eau -20 Prérequis Force 50 Endurance 100 Sagesse 75 Intelligence 75 Obtention Coffre sud de DI, Séraphin intrus / Néphilim intrus / Démon terreux (cave Humterre) | ;
Bracelet de Puissance;Bracelets;;;;24;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boosts CA +1 Force +5 Attaque +5 Prérequis Sagesse 29 Intelligence 24 Obtention Gobelin hargneux (labyrinthe d'Arakas), chef de guerre gobelin, Griroesh (cave Jarko), Bugar Sakkor | ;
Bracelet Volcanique;Bracelets;20;100;;497;19;;;;;;25;;;;2;;;;;;;;25;;;;;;-2;;;;;;;;;;;;;;;;Bonus CA +2 Esquive -2 Intelligence +25 Résistance eau -10 Puissance feu +10 Résistance feu +15 Puissance eau -5 Prérequis Force 20 Endurance 100 Sagesse 19 Intelligence 497 Encombrement 3 Obtention Métier : Bijoutier 40 | ;
Bracelet d'Hibernation;Bracelets;30;100;;473;61;;;;;;25;;;;5;;;;;;;25;;;;;;;-2;;;;;;;;;;;;;;;;Bonus CA +5 Esquive -2 Intelligence +25 Résistance terre -10 Puissance feu -5 Résistance eau +15 Puissance eau +10 Prérequis Force 30 Endurance 100 Sagesse 61 Intelligence 473 Encombrement 3 Obtention  Bijoutier 36 | ;
Bracelet de Subsolanus;Bracelets;20;100;;100;284;;;;;;;16;;;5;;;10;;;;;;15;16;;;;-2;;;;;20;;;;;;;;;;;Bonus CA +5 Esquive -2 Puissance air +10 Intelligence et Sagesse +16 Résistance feu -10 Puissance lumière -5 Résistance air +15 Coup Critique +20 Prérequis Force 20 Endurance 100 Intelligence et Sagesse 284 Encombrement 3 Obtention  Bijoutier 40 | ;
Protège poignet d'archer;Bracelets;160;120;780;27;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boosts CA +5 +15% archerie +12 coup puissant +3 Résistance terre eau feu air nécro Prérequis Force 160 Endurance 80 (anc 120 maj 4/4/18) Dextérité 780 (anc de 720 maj 4/4/18) Intelligence 27 et Sagesse 14 (anc 100 et 100 maj 4/4/18) Obtention Couturier 100 | ;
Bracelet en or pur;Bracelets;400;100;;176;299;;;20;;;;20;;;20;;;;;15;;;;;;;;;-30;;;;;0;;;;;;;;;;;Bonus CA +20 -30 Esquive +20 Sagesse et Force +15 Puissance lumière +7 Résistance terre eau feu nécro +0 Coup critique Prérequis Force 400 Endurance 100 Sagesse 299 Intelligence 176 Encombrement 3 Obtention  Bijoutier 48 | ;
Bracelet de terre sacrée;Bracelets;20;100;;123;421;;;;;;;25;;;5;25;;;;;;;;-10;;;;;;;;;;20;;;;;;;;;;;Bonus CA +5 Sagesse +25 Puissance terre +10 Puissance lumière -5 Résistance terre +15 Résistance air -10 Coup Critique +20 Prérequis Force 20 Endurance 100 Sagesse 421 Intelligence 123 Encombrement 3 Obtention  Bijoutier 80 | ;
Bracelet en ivoire incrusté de perles;Bracelets;30;100;;29;673;;;;;;;30;;;5;;;-5;;5;;5;5;5;5;5;5;;50;;;;;;;;;;;;;;;;Bonus CA +5 Puissance lumière +10 Puissance air -5 Esquive +50 Sagesse +30 Résistance terre air eau feu +5 Résistance nécro -5 Prérequis Force 30 Endurance 100 Sagesse 673 Intelligence 29 Encombrement 3 | Obtention  Bijoutier 90 | ;
Bracelet d'obsidienne;Bracelets;333;100;85;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus Sert plus ancient item ante Prérequis Force 333 Endurance 100 Dexterité 85 Intelligence 300 | Obtention Drop des Chevaliers de la Damnation (Château du désert DI) | ;
Bracelet incrusté d'ampélites;Bracelets;30;100;;823;46;;;;;;;;;;5;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;Bonus CA +5 Puissance nécro +12 Résistance nécro +15 Résistances terre air eau feu -5 Prérequis Force 30 Endurance 100 Sagesse 46 Intelligence 823 Encombrement 3 | Obtention Bijoutier 94 | ;
Bracelet du preux;Bracelets;400;370;90;90;86;;;30;;;;18;;;12;;;;;;;18;18;;;;;;-8;;8;;12;;;;;;;;;;;;Bonus CA +12 Immob +10 (new) Coup Assommant +12 Parade +8 Force et Sagesse +30 (anct +18) Résistance terre eau air feu +8 (anct +2 dont nécro) Esquive -8 Prérequis Endurance 340 (anct 370) Force 430 (anct 400) Dext 90 Intelligence et Sagesse 86 Encombrement 3 | Obtention Métiers : Bijoutier 90 | ;
Bracelet Catalyseur de puissance (T4C et bijoutier NMS);Bracelets;83;110;50;110;182;;;;;;8;24;;;8;-5;-5;-5;-5;-5;-5;;;;;;;;;;;;;;;;;;15;;;;;;Bonus CA +8 Intelligence et Sagesse +24 Profusion de mana +15 +8 puissance terre, eau, feu, air -5 puissance nécro (+8 avant maj) 0 puissance lumière (+8 avant maj) Prérequis Force 83 Endurance 110 Intelligence et Sagesse 182 Dextérité 50 Encombrement 3 Obtention Métiers : Bijoutier 96 | ;
Bracelet des gens heureux;Bracelets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus Chance +15 Résistances air eau feu terre -10 Prérequis Encombrement 2 Obtention Donjon de la chapelle enfouie | ;
